3-2_(3É–-3É–)3É–AdditionalRequirementTable_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ñkäCìπ 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
ìåñk 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,42,25,47,69,91,113,0,0Å`10%,0,0,0,0,0,0,31,0,0Å`10%,0,0,0,0,0,0,0,48,0Å`10%,0,18,16,15,13,11,89,30,0Å`10%,6,0,0,0,0,109,61,19,0Å`10%,22,0,0,0,0,0,131,46,0Å`10%,0,147,199,294,239,185,130,0,0Å`10%,0,100,87,74,76,78,169,0,0Å`10%,0,13,44,74,67,60,159,0,0Å`10%,0,0,0,0,0,143,169,90,0Å`10%,0,27,44,62,79,97,131,54,0Å`10%,0,52,63,73,86,97,131,0
10Å`20%,0,48,87,145,204,110,6,0,10Å`20%,0,0,0,0,0,108,31,0,10Å`20%,0,0,0,0,0,108,0,32,10Å`20%,0,25,95,165,127,147,37,32,10Å`20%,0,0,0,238,184,129,59,38,10Å`20%,0,0,0,239,194,150,106,48,10Å`20%,0,16,128,239,139,129,0,0,10Å`20%,25,79,48,39,174,154,0,0,10Å`20%,0,0,53,98,180,263,0,0,10Å`20%,0,0,0,365,288,212,0,64,10Å`20%,0,8,192,366,281,195,0,61,10Å`20%,0,93,198,343,353,276,0,0
20Å`30%,0,54,148,242,339,436,19,0,20Å`30%,0,43,72,100,120,208,31,0,20Å`30%,0,0,0,179,193,207,0,5,20Å`30%,0,32,69,372,294,216,8,27,20Å`30%,0,12,184,355,252,149,53,57,20Å`30%,0,12,49,268,171,75,80,50,20Å`30%,0,14,140,269,191,74,0,0,20Å`30%,13,58,108,157,272,231,0,0,20Å`30%,0,0,62,121,140,175,0,0,20Å`30%,0,0,0,530,631,280,0,89,20Å`30%,0,8,341,538,632,294,0,114,20Å`30%,0,134,333,532,633,456,0,0
30Å`40%,0,17,486,1071,825,580,32,113,30Å`40%,4,33,115,825,712,599,31,113,30Å`40%,78,31,488,821,892,447,31,95,30Å`40%,0,39,51,460,647,177,33,54,30Å`40%,0,1,332,438,397,169,55,11,30Å`40%,0,24,82,298,251,173,55,102,30Å`40%,0,25,152,298,242,69,0,19,30Å`40%,18,69,172,276,484,155,0,86,30Å`40%,0,0,72,144,216,86,0,86,30Å`40%,0,0,0,970,993,341,0,157,30Å`40%,0,7,489,972,995,488,0,109,30Å`40%,0,112,543,973,748,605,0,141
40Å`50%,0,60,825,1136,1242,472,0,170,40Å`50%,0,62,851,900,928,544,36,166,40Å`50%,0,97,496,703,779,321,32,103,40Å`50%,0,118,184,672,673,282,57,70,40Å`50%,0,56,480,520,541,189,53,72,40Å`50%,0,53,309,516,544,271,29,154,40Å`50%,0,27,238,517,471,64,0,154,40Å`50%,15,79,198,494,626,78,0,214,40Å`50%,0,0,245,191,263,147,0,208,40Å`50%,0,0,0,878,1004,368,0,208,40Å`50%,0,0,588,1026,1360,506,0,155,40Å`50%,0,2,411,1066,1240,485,0,174
50Å`60%,0,12,791,1202,1658,531,0,241,50Å`60%,0,54,755,975,1145,489,101,115,50Å`60%,0,103,505,734,897,196,34,128,50Å`60%,0,101,443,739,699,386,50,132,50Å`60%,0,141,388,664,644,215,51,132,50Å`60%,0,82,334,672,611,247,4,306,50Å`60%,0,89,324,673,569,183,0,162,50Å`60%,150,90,328,713,851,79,0,195,50Å`60%,10,0,418,368,319,398,0,111,50Å`60%,45,0,162,786,1015,488,0,217,50Å`60%,15,0,687,1081,1726,419,0,399,50Å`60%,16,33,413,1158,1732,404,0,246
60Å`70%,0,40,757,1390,1668,590,0,295,60Å`70%,0,45,445,1631,1323,522,136,65,60Å`70%,0,59,367,764,1015,267,123,214,60Å`70%,0,59,576,805,1143,498,126,296,60Å`70%,0,0,494,808,933,242,48,299,60Å`70%,0,71,820,1530,679,306,0,297,60Å`70%,234,0,816,1529,666,301,0,170,60Å`70%,285,49,618,1530,1076,80,0,175,60Å`70%,269,0,332,1329,1057,185,0,176,60Å`70%,42,0,206,814,1275,254,0,250,60Å`70%,44,0,785,1406,1748,397,0,367,60Å`70%,41,54,787,1433,1747,433,0,368
70Å`80%,0,32,661,1598,1196,454,0,16,70Å`80%,0,37,434,1141,1595,823,50,15,70Å`80%,0,14,230,960,1585,795,79,0,70Å`80%,0,18,709,1012,1527,552,74,1,70Å`80%,0,0,600,922,1221,360,18,241,70Å`80%,0,60,794,1296,729,365,0,288,70Å`80%,0,0,556,1301,745,393,0,178,70Å`80%,0,8,453,1373,746,81,0,156,70Å`80%,151,0,247,1520,746,127,0,245,70Å`80%,40,0,250,1524,855,168,0,271,70Å`80%,42,0,724,1663,1255,376,0,282,70Å`80%,66,75,571,1667,1065,462,0,227
80Å`90%,89,96,565,1161,1131,254,0,11,80Å`90%,0,28,422,815,1547,1452,75,10,80Å`90%,0,19,203,986,1422,1323,63,0,80Å`90%,0,0,1000,1035,1499,1248,21,0,80Å`90%,0,0,876,1036,1498,490,59,178,80Å`90%,0,49,768,844,779,493,0,306,80Å`90%,0,0,295,717,847,485,0,306,80Å`90%,0,13,407,724,523,82,0,268,80Å`90%,33,0,320,1271,470,79,0,268,80Å`90%,38,0,319,1292,435,145,0,158,80Å`90%,101,0,662,1366,761,99,0,229,80Å`90%,91,97,550,1267,761,0,0,176
90Å`100%,0,9,617,725,1066,53,0,6,90Å`100%,0,22,248,391,1046,189,4,5,90Å`100%,0,0,177,257,915,189,103,0,90Å`100%,0,0,768,746,218,199,98,0,90Å`100%,0,0,769,849,929,99,99,0,90Å`100%,0,37,588,762,928,61,0,0,90Å`100%,0,0,267,701,948,0,0,0,90Å`100%,0,17,361,704,43,33,0,0,90Å`100%,0,0,297,1021,327,33,0,154,90Å`100%,0,0,300,1060,328,61,0,153,90Å`100%,0,0,718,1069,423,8,0,193,90Å`100%,0,27,539,867,402,0,0,158
ìåãû 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,0,0,24,0,0,0,0,0Å`10%,0,2,75,182,119,0,0,0,0Å`10%,0,1,75,182,144,74,3,0,0Å`10%,0,1,77,168,148,45,4,0,0Å`10%,0,0,0,45,95,0,0,0,0Å`10%,0,0,18,44,95,119,0,0,0Å`10%,0,0,0,44,95,111,0,0,0Å`10%,0,0,0,0,0,99,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,24,41,317,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,1,0,0,0,0,0,0
10Å`20%,0,0,222,453,113,58,3,0,10Å`20%,0,15,281,461,327,167,6,0,10Å`20%,0,11,315,458,325,166,6,0,10Å`20%,0,17,420,520,325,165,6,0,10Å`20%,0,0,0,196,247,0,0,0,10Å`20%,0,0,115,86,491,259,0,0,10Å`20%,0,17,175,333,491,255,0,0,10Å`20%,0,0,0,0,491,140,0,0,10Å`20%,0,0,0,0,209,0,0,0,10Å`20%,0,0,215,1082,755,428,0,0,10Å`20%,0,0,163,384,333,30,0,0,10Å`20%,0,15,80,378,134,30,0,0
20Å`30%,0,0,947,1335,582,335,10,0,20Å`30%,0,27,967,1483,884,285,31,0,20Å`30%,0,22,965,1406,786,597,31,0,20Å`30%,0,34,633,1412,1009,606,31,0,20Å`30%,0,0,0,416,1040,13,0,0,20Å`30%,0,0,212,561,491,399,0,0,20Å`30%,0,22,291,560,493,400,0,0,20Å`30%,0,0,0,560,492,400,0,0,20Å`30%,0,0,0,0,196,144,0,0,20Å`30%,0,0,269,893,608,118,0,0,20Å`30%,0,2,201,765,806,846,0,0,20Å`30%,0,11,217,835,504,387,0,0
30Å`40%,0,38,646,1384,1051,613,17,0,30Å`40%,0,39,641,1605,1452,1214,45,0,30Å`40%,0,32,1167,1574,1454,789,48,0,30Å`40%,0,51,1013,1468,1448,800,49,0,30Å`40%,0,0,0,637,637,299,0,0,30Å`40%,0,0,314,614,519,716,0,0,30Å`40%,0,49,331,629,521,228,0,0,30Å`40%,0,0,0,235,511,385,0,0,30Å`40%,0,0,42,113,184,292,0,0,30Å`40%,0,0,323,693,406,257,0,0,30Å`40%,0,0,207,1038,885,755,0,0,30Å`40%,0,7,177,1504,873,744,1,0
40Å`50%,0,31,346,1432,2519,1035,24,0,40Å`50%,0,51,1050,1475,1135,1558,108,0,40Å`50%,0,43,1369,1248,1531,1814,107,0,40Å`50%,0,68,1393,961,1134,1885,104,0,40Å`50%,0,0,405,985,1130,586,100,0,40Å`50%,0,1,417,734,748,499,0,0,40Å`50%,0,76,416,261,663,475,0,0,40Å`50%,0,0,587,252,438,474,0,0,40Å`50%,0,0,11,223,436,498,0,0,40Å`50%,0,0,377,492,204,139,0,0,40Å`50%,0,0,88,1310,2531,416,0,0,40Å`50%,0,3,316,1424,2533,384,0,0
50Å`60%,0,24,667,1696,2728,1112,19,0,50Å`60%,0,64,995,1345,1275,1206,85,0,50Å`60%,0,54,1038,1569,1385,1201,19,0,50Å`60%,0,85,1051,1081,1169,1589,20,0,50Å`60%,0,0,78,1064,1856,882,5,0,50Å`60%,0,20,78,854,1088,820,0,0,50Å`60%,0,58,370,557,743,809,0,0,50Å`60%,0,0,56,849,746,826,0,0,50Å`60%,0,0,56,272,489,705,0,0,50Å`60%,0,0,431,292,2,22,0,0,50Å`60%,0,0,526,1544,2901,194,0,0,50Å`60%,0,58,573,1611,2751,868,0,0
60Å`70%,0,18,989,1959,2098,1189,0,0,60Å`70%,0,76,939,1110,838,1159,80,0,60Å`70%,0,64,706,1061,1159,796,46,0,60Å`70%,0,70,709,1526,1410,1294,45,0,60Å`70%,0,34,525,1779,1888,1115,17,0,60Å`70%,0,58,298,1443,1292,1140,0,0,60Å`70%,0,40,251,1436,1289,1143,0,0,60Å`70%,0,0,287,1447,1312,1177,0,0,60Å`70%,0,0,187,921,650,379,0,0,60Å`70%,0,0,484,94,230,243,0,0,60Å`70%,0,0,527,1779,2890,329,0,0,60Å`70%,0,55,418,1797,2638,1393,0,0
70Å`80%,0,15,1254,2493,1364,241,0,0,70Å`80%,0,169,326,483,810,1138,74,0,70Å`80%,0,167,333,1473,932,959,74,0,70Å`80%,0,171,397,1970,1650,1331,70,0,70Å`80%,0,160,756,2494,1919,1344,29,0,70Å`80%,0,10,620,1713,1327,1359,0,0,70Å`80%,0,22,499,1690,1327,286,0,0,70Å`80%,0,0,145,1655,1597,629,0,0,70Å`80%,0,0,317,733,555,53,0,0,70Å`80%,0,0,674,604,534,465,0,0,70Å`80%,0,0,528,2496,1568,464,0,0,70Å`80%,0,52,262,2505,1377,372,0,0
80Å`90%,0,25,895,1528,758,153,0,0,80Å`90%,0,68,267,466,765,1116,0,0,80Å`90%,0,137,533,929,677,1123,0,0,80Å`90%,0,134,811,1488,2654,1133,44,0,80Å`90%,0,131,986,2070,3154,884,24,0,80Å`90%,0,37,942,2768,1572,714,0,0,80Å`90%,0,21,747,3029,1207,80,0,0,80Å`90%,0,0,470,3718,1220,81,0,0,80Å`90%,0,0,296,545,794,247,0,0,80Å`90%,0,0,692,688,559,575,0,0,80Å`90%,0,0,530,734,1102,573,0,0,80Å`90%,0,50,107,1538,756,325,0,0
90Å`100%,0,206,536,564,191,258,0,0,90Å`100%,0,108,538,426,175,258,0,0,90Å`100%,0,107,149,964,99,0,0,0,90Å`100%,0,97,171,1007,831,425,19,0,90Å`100%,0,101,254,407,830,424,19,0,90Å`100%,0,76,54,33,53,70,19,0,90Å`100%,0,1,19,38,556,203,0,0,90Å`100%,0,1,168,334,547,203,0,0,90Å`100%,0,1,275,549,624,372,0,0,90Å`100%,0,0,314,617,422,0,0,0,90Å`100%,0,0,185,670,636,201,0,0,90Å`100%,0,69,554,571,316,259,0,0
íÜïî 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,35,32,28,24,21,17,0,0Å`10%,0,60,62,65,67,70,72,0,0Å`10%,0,70,71,71,71,72,72,0,0Å`10%,0,54,74,95,95,94,94,0,0Å`10%,0,105,92,171,139,107,75,0,0Å`10%,0,118,5,171,139,107,75,0,0Å`10%,0,40,8,214,172,131,90,0,0Å`10%,0,34,124,214,149,85,21,4,0Å`10%,0,24,75,154,108,63,18,0,0Å`10%,0,2,5,8,11,15,18,0,0Å`10%,0,53,146,112,77,43,9,0,0Å`10%,0,50,135,106,76,47,18,0
10Å`20%,2,53,433,450,467,215,0,0,10Å`20%,0,55,447,462,307,238,56,0,10Å`20%,0,73,262,460,182,75,56,0,10Å`20%,0,44,251,460,345,230,72,0,10Å`20%,0,91,315,196,188,282,64,4,10Å`20%,0,0,110,188,266,7,0,0,10Å`20%,0,19,363,395,172,120,0,0,10Å`20%,0,0,364,486,335,184,0,5,10Å`20%,0,0,369,648,225,149,0,0,10Å`20%,0,0,209,174,140,105,0,1,10Å`20%,1,0,208,576,375,174,0,0,10Å`20%,2,0,266,613,568,279,16,0
