3-2_(3É–-3É–)3É–ReliableRequirementTable_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ñkäCìπ 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
40Å`50%,0,111,588,1074,1107,604,66,100,40Å`50%,0,163,544,1039,1135,659,133,97,40Å`50%,0,63,577,896,769,312,121,109,40Å`50%,16,108,401,1273,963,308,125,117,40Å`50%,18,0,191,1039,768,359,0,103,40Å`50%,31,0,270,649,590,103,49,77,40Å`50%,0,8,86,650,589,225,0,96,40Å`50%,0,0,92,452,329,113,0,0,40Å`50%,0,0,0,525,290,123,0,0,40Å`50%,17,0,115,510,612,164,0,59,40Å`50%,17,0,363,661,958,45,0,136,40Å`50%,0,104,364,758,1152,643,0,102
50Å`60%,14,169,793,1244,1193,605,124,228,50Å`60%,19,165,1063,1229,1170,715,118,223,50Å`60%,0,46,627,1191,600,498,90,148,50Å`60%,23,127,678,1082,554,500,25,213,50Å`60%,21,0,267,611,556,501,25,167,50Å`60%,30,0,264,583,410,113,42,116,50Å`60%,0,5,128,584,524,230,0,125,50Å`60%,0,0,62,592,406,61,0,0,50Å`60%,0,0,0,650,331,113,0,0,50Å`60%,17,0,131,498,604,220,0,115,50Å`60%,17,0,225,764,867,2,0,134,50Å`60%,15,167,705,1062,1248,793,0,234
60Å`70%,116,228,998,1392,1279,890,45,0,60Å`70%,133,167,1675,1559,1206,769,46,0,60Å`70%,0,28,904,752,461,199,44,95,60Å`70%,30,147,954,797,461,96,26,177,60Å`70%,24,0,160,349,475,356,26,145,60Å`70%,29,0,256,616,403,122,35,155,60Å`70%,0,2,170,617,460,235,0,154,60Å`70%,0,0,176,712,470,8,0,0,60Å`70%,0,0,100,715,376,103,0,0,60Å`70%,18,0,146,630,595,93,0,171,60Å`70%,17,0,180,868,986,94,0,132,60Å`70%,118,244,1046,1155,1345,943,0,183
70Å`80%,41,113,827,1541,1479,1176,0,0,70Å`80%,40,211,1012,1463,1280,823,38,0,70Å`80%,0,140,414,668,433,70,37,0,70Å`80%,38,167,819,753,368,85,28,141,70Å`80%,27,0,54,229,395,211,28,123,70Å`80%,27,1,373,649,527,212,29,195,70Å`80%,0,0,233,650,482,132,0,182,70Å`80%,0,0,290,832,534,15,0,183,70Å`80%,0,0,272,780,352,60,0,183,70Å`80%,18,0,295,673,470,60,0,226,70Å`80%,17,0,278,1172,1106,1039,0,243,70Å`80%,42,205,680,1640,1563,1244,0,132
80Å`90%,0,76,486,1798,1845,245,0,0,80Å`90%,0,256,349,1336,1146,396,29,0,80Å`90%,0,253,352,761,513,174,29,0,80Å`90%,0,187,683,828,382,103,0,105,80Å`90%,0,0,107,364,389,0,0,86,80Å`90%,0,0,489,750,652,43,0,240,80Å`90%,0,0,486,752,678,29,0,332,80Å`90%,0,0,549,757,696,23,0,235,80Å`90%,18,0,444,922,328,0,0,281,80Å`90%,18,0,444,717,326,0,0,280,80Å`90%,17,0,376,1861,1930,0,0,354,80Å`90%,0,166,314,1867,1940,249,0,81
90Å`100%,0,39,146,129,167,204,0,0,90Å`100%,0,13,249,1209,1011,241,0,0,90Å`100%,0,0,0,855,593,0,0,0,90Å`100%,0,0,123,903,621,0,0,69,90Å`100%,0,0,122,499,384,0,0,0,90Å`100%,0,0,0,777,607,11,0,0,90Å`100%,0,0,95,988,623,0,0,0,90Å`100%,0,0,192,109,26,0,0,0,90Å`100%,0,0,193,110,27,0,0,121,90Å`100%,0,0,194,0,0,0,0,120,90Å`100%,0,0,296,0,0,0,0,166,90Å`100%,0,127,183,239,224,209,0,30
ìåãû 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,0,0,0,0,0,1,0,0Å`10%,0,3,9,16,22,57,1,0,0Å`10%,0,1,90,178,267,57,2,0,0Å`10%,0,0,109,245,271,195,4,0,0Å`10%,0,0,0,0,0,1,2,0,0Å`10%,0,0,0,33,289,128,3,0,0Å`10%,0,0,0,32,2,121,3,0,0Å`10%,0,2,17,32,2,110,0,0,0Å`10%,0,2,2,1,1,1,1,0,0Å`10%,0,1,81,155,244,1,0,0,0Å`10%,0,1,0,0,0,0,0,0,0Å`10%,0,1,1,1,1,1,1,0
10Å`20%,0,0,293,551,457,230,3,0,10Å`20%,0,18,287,552,367,195,23,0,10Å`20%,0,16,153,557,364,193,23,0,10Å`20%,0,0,250,384,355,289,23,0,10Å`20%,0,0,468,597,738,372,6,0,10Å`20%,0,0,275,408,541,273,6,0,10Å`20%,0,0,0,196,541,83,0,0,10Å`20%,0,0,0,67,483,67,0,0,10Å`20%,0,0,0,42,170,97,0,0,10Å`20%,0,0,228,1023,870,257,0,0,10Å`20%,0,0,259,451,817,0,0,0,10Å`20%,0,6,414,450,613,205,0,0
20Å`30%,0,0,507,1067,575,290,6,0,20Å`30%,0,32,471,1091,555,19,14,0,20Å`30%,0,31,457,656,344,331,36,0,20Å`30%,0,0,443,920,626,332,37,0,20Å`30%,0,0,598,1143,867,16,3,0,20Å`30%,0,0,649,361,590,45,0,0,20Å`30%,0,13,652,361,590,45,0,0,20Å`30%,0,0,0,101,590,23,0,0,20Å`30%,0,0,0,83,126,193,0,0,20Å`30%,0,0,9,1530,1639,383,0,0,20Å`30%,0,0,542,486,775,382,0,0,20Å`30%,0,22,632,1242,651,409,0,0
30Å`40%,0,0,721,979,693,476,8,0,30Å`40%,0,47,709,701,893,510,6,0,30Å`40%,0,46,739,693,813,933,50,0,30Å`40%,0,0,736,561,946,1162,52,0,30Å`40%,0,14,199,1015,1008,266,53,0,30Å`40%,0,0,422,466,509,552,0,0,30Å`40%,0,27,424,523,622,555,0,0,30Å`40%,0,0,0,136,590,558,0,0,30Å`40%,0,0,0,124,192,290,0,0,30Å`40%,0,0,17,137,1099,377,0,0,30Å`40%,0,0,825,943,605,307,0,0,30Å`40%,0,12,726,934,689,613,0,0
40Å`50%,0,0,357,891,764,836,10,0,40Å`50%,0,61,682,887,1231,1542,64,0,40Å`50%,0,61,713,883,1220,1535,64,0,40Å`50%,0,0,1029,806,1265,1992,66,0,40Å`50%,0,13,163,888,1612,516,103,0,40Å`50%,0,0,196,0,0,0,0,0,40Å`50%,0,40,196,425,654,500,0,0,40Å`50%,0,0,0,171,590,179,0,0,40Å`50%,0,0,0,165,259,280,0,0,40Å`50%,0,0,2,122,558,362,0,0,40Å`50%,0,0,1221,1064,907,778,0,0,40Å`50%,0,1,430,520,1046,1067,0,0
50Å`60%,0,0,765,1189,1243,1196,9,0,50Å`60%,0,76,241,726,945,1131,155,0,50Å`60%,0,76,775,1203,1180,1156,89,0,50Å`60%,0,91,1362,1079,880,1655,94,0,50Å`60%,0,12,486,745,1453,1430,153,0,50Å`60%,0,0,423,0,0,0,0,0,50Å`60%,0,28,247,467,686,446,0,0,50Å`60%,0,0,0,206,591,190,0,0,50Å`60%,0,0,0,205,325,271,0,0,50Å`60%,0,0,177,383,860,336,0,0,50Å`60%,0,0,1618,1177,1209,1250,0,0,50Å`60%,0,6,739,1033,1403,1520,0,0
60Å`70%,0,38,1394,1486,1723,1959,15,0,60Å`70%,0,39,661,1190,1403,1600,43,0,60Å`70%,0,38,836,1414,1153,1256,197,0,60Å`70%,0,137,1695,1353,1011,1319,203,0,60Å`70%,0,10,809,1132,1295,745,203,0,60Å`70%,0,0,651,0,0,0,0,0,60Å`70%,0,15,249,484,718,391,0,0,60Å`70%,0,0,0,241,591,200,0,0,60Å`70%,0,0,0,246,392,261,0,0,60Å`70%,0,0,353,916,1478,310,0,0,60Å`70%,0,0,1627,1696,1982,2268,0,0,60Å`70%,0,10,1409,1546,1760,1974,0,0
70Å`80%,0,26,317,1169,1571,2094,21,0,70Å`80%,0,70,2136,1653,1861,2069,36,0,70Å`80%,0,132,2121,1624,1539,1355,113,0,70Å`80%,0,183,2408,1775,1593,1412,0,0,70Å`80%,0,20,491,1520,1586,379,0,0,70Å`80%,0,0,0,0,0,0,0,0,70Å`80%,0,18,262,506,750,337,0,0,70Å`80%,0,0,0,276,591,211,0,0,70Å`80%,0,0,0,287,458,252,0,0,70Å`80%,0,0,529,743,957,284,0,0,70Å`80%,0,0,1143,1771,1459,1146,0,0,70Å`80%,0,15,987,1094,1593,2125,0,0
80Å`90%,0,106,286,852,1419,1047,27,0,80Å`90%,0,228,615,1155,1563,1970,29,0,80Å`90%,0,227,611,1879,1925,1971,29,0,80Å`90%,0,230,587,1909,1966,2024,0,0,80Å`90%,0,30,172,119,66,13,0,0,80Å`90%,0,13,0,0,0,0,0,0,80Å`90%,0,21,275,529,783,282,0,0,80Å`90%,0,0,0,310,591,222,0,0,80Å`90%,0,0,0,328,524,242,0,0,80Å`90%,0,0,704,879,832,258,0,0,80Å`90%,0,0,659,1401,1231,24,0,0,80Å`90%,0,26,565,995,1425,1013,0,0
90Å`100%,0,187,386,541,943,113,0,0,90Å`100%,0,146,384,535,940,113,0,0,90Å`100%,0,0,0,498,718,0,0,0,90Å`100%,0,0,0,0,678,0,0,0,90Å`100%,0,0,0,0,0,0,0,0,90Å`100%,0,35,0,0,0,0,0,0,90Å`100%,0,0,0,0,815,227,0,0,90Å`100%,0,0,0,93,591,232,0,0,90Å`100%,0,0,0,369,591,233,0,0,90Å`100%,0,0,0,1015,707,233,0,0,90Å`100%,0,0,70,1030,1004,19,0,0,90Å`100%,0,67,393,687,956,114,0,0
íÜïî 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,73,101,160,220,124,28,0,0Å`10%,0,20,95,166,435,266,97,0,0Å`10%,0,18,95,449,434,268,102,0,0Å`10%,0,122,151,449,538,324,109,0,0Å`10%,0,144,135,127,119,110,102,0,0Å`10%,0,134,128,121,114,107,100,0,0Å`10%,0,42,56,193,18,40,62,0,0Å`10%,0,36,59,193,18,21,24,0,0Å`10%,0,11,116,193,136,80,24,0,0Å`10%,0,18,19,20,22,23,24,0,0Å`10%,0,48,46,45,43,42,40,0,0Å`10%,0,85,130,175,221,18,29,0
10Å`20%,0,0,113,325,218,112,5,0,10Å`20%,0,24,271,312,315,180,5,0,10Å`20%,0,19,229,521,485,181,2,0,10Å`20%,0,71,242,524,729,401,84,0,10Å`20%,4,114,378,260,149,179,87,6,10Å`20%,0,0,166,459,525,11,0,0,10Å`20%,0,29,111,487,524,130,0,0,10Å`20%,0,0,114,162,523,52,0,0,10Å`20%,0,0,74,152,395,73,0,0,10Å`20%,0,0,76,151,227,302,0,0,10Å`20%,0,0,73,632,450,269,0,0,10Å`20%,0,58,322,340,358,330,29,0
