3-2_(3É–-3É–)3É–RequirementTable_[MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ñkäCìπ 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ñkäCìπ 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
ìåñk 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåñk 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,0,0,0,0,156,219,0,0Å`10%,0,1,1,2,3,3,4,0,0Å`10%,0,0,0,0,0,0,0,24,0Å`10%,0,0,0,0,0,0,4,12,0Å`10%,0,7,35,63,92,120,0,12,0Å`10%,0,0,0,0,0,28,108,48,0Å`10%,0,210,296,259,222,185,103,0,0Å`10%,0,12,3,60,117,173,138,0,0Å`10%,0,129,152,174,197,219,66,0,0Å`10%,16,101,131,160,190,219,194,91,0Å`10%,16,4,59,114,169,224,333,85,0Å`10%,0,0,0,0,0,203,231,0
10Å`20%,0,0,0,0,0,273,141,0,10Å`20%,0,26,114,99,84,69,8,0,10Å`20%,0,0,0,0,0,0,0,20,10Å`20%,0,0,0,0,0,0,6,10,10Å`20%,0,8,144,205,267,206,0,20,10Å`20%,0,0,0,0,0,16,83,36,10Å`20%,0,110,168,166,163,160,0,0,10Å`20%,0,15,26,111,197,155,0,4,10Å`20%,0,0,162,206,187,84,0,17,10Å`20%,34,0,181,283,492,201,0,70,10Å`20%,24,0,172,261,486,203,0,31,10Å`20%,0,0,0,0,93,234,0,0
20Å`30%,0,49,134,219,304,390,63,0,20Å`30%,0,51,227,196,165,134,60,0,20Å`30%,0,50,0,0,0,0,0,66,20Å`30%,0,0,0,0,0,0,8,2,20Å`30%,0,9,252,347,442,293,0,5,20Å`30%,0,9,8,6,5,107,58,23,20Å`30%,0,9,41,202,104,136,0,26,20Å`30%,0,43,49,163,277,136,0,5,20Å`30%,0,0,172,237,178,181,0,11,20Å`30%,53,0,231,407,795,326,0,58,20Å`30%,31,0,286,407,803,335,0,83,20Å`30%,30,0,0,410,800,266,0,0
30Å`40%,0,132,198,264,329,554,117,177,30Å`40%,22,118,340,293,247,200,111,167,30Å`40%,55,70,58,0,0,0,0,112,30Å`40%,0,50,42,34,26,18,10,31,30Å`40%,0,50,361,489,617,379,0,72,30Å`40%,0,24,171,143,115,199,33,71,30Å`40%,0,32,122,239,114,135,0,88,30Å`40%,43,71,71,214,357,133,0,6,30Å`40%,69,0,182,269,294,139,0,100,30Å`40%,71,0,407,515,623,450,0,173,30Å`40%,39,0,399,515,947,466,0,150,30Å`40%,33,191,262,565,938,469,0,169
40Å`50%,0,186,259,356,454,719,170,138,40Å`50%,27,121,453,390,328,266,163,11,40Å`50%,41,84,451,390,328,266,0,133,40Å`50%,0,46,107,168,230,291,12,85,40Å`50%,0,39,470,631,792,466,0,71,40Å`50%,0,39,300,405,794,395,8,150,40Å`50%,0,55,122,406,796,262,0,151,40Å`50%,36,99,145,220,581,116,0,239,40Å`50%,49,0,192,301,411,112,0,188,40Å`50%,16,0,343,530,451,520,0,189,40Å`50%,46,0,487,789,1090,747,0,140,40Å`50%,36,226,473,721,1077,748,0,165
50Å`60%,0,240,865,1490,1563,893,224,214,50Å`60%,31,125,951,1473,718,520,214,4,50Å`60%,27,98,705,1550,685,515,186,53,50Å`60%,0,42,225,472,720,527,13,115,50Å`60%,0,39,581,736,924,357,14,70,50Å`60%,0,121,443,917,671,268,116,27,50Å`60%,0,123,429,918,672,292,0,131,50Å`60%,146,127,219,952,765,113,0,190,50Å`60%,152,0,202,332,473,41,0,156,50Å`60%,119,0,280,544,414,288,0,200,50Å`60%,53,0,576,823,1550,417,0,178,50Å`60%,39,262,685,1108,1531,658,0,161
60Å`70%,0,381,832,1363,1647,915,183,290,60Å`70%,36,314,920,1482,1433,739,181,60,60Å`70%,13,308,906,1418,1433,806,179,3,60Å`70%,0,39,682,709,1613,763,55,30,60Å`70%,0,39,692,1049,1056,416,55,26,60Å`70%,0,18,838,1620,698,373,0,0,60Å`70%,205,79,833,1615,699,322,0,112,60Å`70%,256,64,832,1617,949,110,0,141,60Å`70%,254,0,178,664,535,62,0,124,60Å`70%,191,0,216,707,378,193,0,157,60Å`70%,61,0,664,1422,1727,484,0,508,60Å`70%,42,193,667,1425,1726,568,0,294
70Å`80%,0,289,800,1374,1726,847,165,120,70Å`80%,41,227,787,1491,1782,958,163,117,70Å`80%,13,224,1107,1287,1771,1191,162,0,70Å`80%,0,52,847,1359,1859,999,96,0,70Å`80%,0,83,800,1362,1465,475,97,0,70Å`80%,0,34,822,1407,724,477,0,0,70Å`80%,109,34,721,1409,726,466,0,92,70Å`80%,134,1,541,1587,732,107,0,92,70Å`80%,67,0,155,1297,725,83,0,92,70Å`80%,68,0,153,1239,405,97,0,75,70Å`80%,68,0,319,1669,1819,551,0,85,70Å`80%,45,125,559,1492,1800,590,0,123
80Å`90%,47,320,803,1827,1805,925,216,0,80Å`90%,46,272,795,1414,1865,1608,212,0,80Å`90%,13,269,790,1055,1751,1576,210,0,80Å`90%,0,65,1012,1114,1799,1589,33,0,80Å`90%,0,126,907,921,1608,499,33,0,80Å`90%,0,34,805,1195,777,498,0,0,80Å`90%,13,0,497,1043,799,483,0,52,80Å`90%,13,8,444,1133,517,103,0,128,80Å`90%,0,0,0,487,352,104,0,137,80Å`90%,0,0,0,813,353,107,0,128,80Å`90%,0,0,260,1912,1911,698,0,0,80Å`90%,48,108,452,1916,1875,836,0,84
90Å`100%,0,351,441,818,1970,1004,134,0,90Å`100%,13,317,479,640,1373,219,167,0,90Å`100%,13,315,370,424,954,223,37,0,90Å`100%,0,130,928,970,1012,233,36,0,90Å`100%,0,169,934,820,705,151,0,0,90Å`100%,0,35,754,983,829,43,0,0,90Å`100%,0,0,272,678,872,0,0,0,90Å`100%,0,14,347,679,302,0,0,164,90Å`100%,0,0,0,387,305,0,0,181,90Å`100%,0,0,0,388,134,16,0,181,90Å`100%,0,0,202,464,2101,1007,0,0,90Å`100%,0,0,354,784,2101,1083,0,45
ìåãû 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,ìåãû 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,7,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,5,0,0,0,0,0,0,0Å`10%,0,6,0,0,0,0,0,0,0Å`10%,0,6,11,16,20,25,0,0,0Å`10%,0,0,0,0,0,24,0,0,0Å`10%,0,0,0,0,0,18,1,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,4,0,0Å`10%,0,0,0,0,0,0,2,0,0Å`10%,0,0,0,0,0,0,0,0
10Å`20%,0,10,126,241,485,246,7,0,10Å`20%,0,0,0,0,296,150,4,0,10Å`20%,0,0,0,0,293,149,4,0,10Å`20%,0,6,41,75,110,145,0,0,10Å`20%,0,16,0,0,0,0,0,0,10Å`20%,0,16,119,139,94,96,0,0,10Å`20%,0,0,0,0,95,95,0,0,10Å`20%,0,0,0,0,95,93,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,14,307,0,0,0,0,10Å`20%,0,0,0,307,0,0,0,0
20Å`30%,0,14,323,1162,1000,398,13,0,20Å`30%,0,0,696,1185,799,414,29,0,20Å`30%,0,0,689,1169,380,204,29,0,20Å`30%,0,8,244,479,330,181,32,0,20Å`30%,0,27,375,722,554,0,0,0,20Å`30%,0,25,226,262,1030,167,0,0,20Å`30%,0,18,139,260,1030,167,0,0,20Å`30%,0,0,0,258,1030,168,0,0,20Å`30%,0,0,0,0,411,129,0,0,20Å`30%,0,0,0,195,409,30,0,0,20Å`30%,0,2,479,956,275,28,0,0,20Å`30%,0,0,0,1128,0,0,0,0
30Å`40%,0,17,2492,2873,1515,550,19,0,30Å`40%,0,0,2481,2782,1673,564,19,0,30Å`40%,0,0,2521,2768,2081,453,69,0,30Å`40%,0,9,686,2203,2090,663,71,0,30Å`40%,0,38,92,961,662,0,0,0,30Å`40%,0,34,334,665,996,615,0,0,30Å`40%,0,31,707,832,957,612,0,0,30Å`40%,0,0,719,837,955,615,0,0,30Å`40%,0,0,0,0,506,338,0,0,30Å`40%,0,0,0,582,407,129,0,0,30Å`40%,0,0,746,2174,1614,267,0,0,30Å`40%,0,12,948,2164,1516,691,0,0
40Å`50%,0,20,1687,2320,1812,918,25,0,40Å`50%,0,0,689,3206,3798,705,109,0,40Å`50%,0,0,686,3194,3782,702,108,0,40Å`50%,0,11,495,3818,3849,1145,110,0,40Å`50%,0,49,496,1201,1136,676,0,0,40Å`50%,0,44,535,1412,1334,576,0,0,40Å`50%,0,44,536,1441,1161,576,0,0,40Å`50%,0,0,583,1485,1156,539,0,0,40Å`50%,0,0,130,966,601,237,0,0,40Å`50%,0,0,0,1094,501,229,0,0,40Å`50%,0,0,1013,2822,1818,588,0,0,40Å`50%,0,10,860,2461,1811,288,0,0
50Å`60%,0,23,1316,2636,2533,978,0,0,50Å`60%,0,0,441,1485,3687,2460,140,0,50Å`60%,0,0,377,1952,3705,2456,73,0,50Å`60%,0,12,362,1289,3753,2531,71,0,50Å`60%,0,59,1002,1280,964,746,9,0,50Å`60%,0,53,1148,1606,1879,757,0,0,50Å`60%,0,58,705,1619,1859,770,0,0,50Å`60%,0,0,699,1623,1857,464,0,0,50Å`60%,0,0,67,843,645,448,0,0,50Å`60%,0,0,0,991,594,328,0,0,50Å`60%,0,0,451,2915,2135,1100,0,0,50Å`60%,0,9,612,2774,1879,693,0,0
60Å`70%,0,26,1648,2951,3255,1317,0,0,60Å`70%,0,29,570,1112,1762,2177,124,0,60Å`70%,0,29,400,1550,1661,2170,91,0,60Å`70%,0,14,473,1056,1635,2214,90,0,60Å`70%,0,33,1508,1360,1483,634,26,0,60Å`70%,0,41,1761,1800,1838,906,0,0,60Å`70%,0,29,1763,1798,1832,911,0,0,60Å`70%,0,0,1692,1762,1832,914,0,0,60Å`70%,0,0,470,711,937,318,0,0,60Å`70%,0,0,842,871,1946,428,0,0,60Å`70%,0,0,297,3008,2451,1611,0,0,60Å`70%,0,8,790,3086,1946,1324,0,0
70Å`80%,0,149,1980,3811,4724,3393,0,0,70Å`80%,0,135,141,147,153,1296,109,0,70Å`80%,0,26,221,1149,1202,966,108,0,70Å`80%,0,8,444,1552,1563,1043,109,0,70Å`80%,0,7,1209,2050,2002,1050,43,0,70Å`80%,0,29,1261,1901,2243,1041,0,0,70Å`80%,0,1,1245,1856,1926,382,0,0,70Å`80%,0,0,1208,1903,1754,486,0,0,70Å`80%,0,0,17,391,792,187,0,0,70Å`80%,0,0,822,692,990,244,0,0,70Å`80%,0,0,143,5034,4903,3739,0,0,70Å`80%,0,6,969,4347,4740,3396,0,0
80Å`90%,0,0,0,3124,2603,2082,0,0,80Å`90%,0,0,0,0,0,1031,59,0,80Å`90%,0,39,240,988,704,420,82,0,80Å`90%,0,30,50,985,716,446,62,0,80Å`90%,0,47,910,2626,2367,2109,61,0,80Å`90%,0,25,762,3171,2647,2123,0,0,80Å`90%,0,0,726,3174,2020,852,0,0,80Å`90%,0,0,724,3719,1677,59,0,0,80Å`90%,0,0,363,506,648,60,0,0,80Å`90%,0,0,1022,891,641,60,0,0,80Å`90%,0,0,0,3115,2496,1876,0,0,80Å`90%,0,5,1573,3142,2614,2086,0,0
90Å`100%,0,0,0,0,0,771,0,0,90Å`100%,0,0,0,0,0,766,0,0,90Å`100%,0,53,259,464,255,46,0,0,90Å`100%,0,52,8,410,216,22,0,0,90Å`100%,0,48,106,164,222,21,0,0,90Å`100%,0,67,639,1210,309,125,0,0,90Å`100%,0,0,0,1181,192,0,0,0,90Å`100%,0,0,453,1781,294,29,0,0,90Å`100%,0,0,708,621,293,30,0,0,90Å`100%,0,0,1222,1090,292,30,0,0,90Å`100%,0,0,0,68,41,13,0,0,90Å`100%,0,0,0,0,0,776,0,0
íÜïî 2026/4,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/5,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/6,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/7,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/8,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/9,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/10,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/11,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2026/12,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/1,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/2,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû,íÜïî 2027/3,0Å`3éû,3Å`6éû,6Å`9éû,9Å`12éû,12Å`15éû,15Å`18éû,18Å`21éû,21Å`24éû
0Å`10%,0,17,16,15,15,14,13,0,0Å`10%,0,0,0,0,0,0,11,0,0Å`10%,0,12,13,15,16,18,19,0,0Å`10%,0,12,12,13,13,14,14,0,0Å`10%,0,106,120,133,146,159,173,0,0Å`10%,0,97,112,126,141,156,171,0,0Å`10%,0,96,113,129,146,163,179,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,0,0,0Å`10%,0,0,0,0,0,0,9,0,0Å`10%,0,26,23,20,17,14,11,0,0Å`10%,0,18,17,16,16,15,14,0
10Å`20%,0,22,21,42,63,83,11,0,10Å`20%,0,0,0,0,0,86,0,0,10Å`20%,0,0,65,117,148,179,21,0,10Å`20%,0,0,227,81,30,14,17,0,10Å`20%,0,0,277,255,233,161,155,7,10Å`20%,0,17,225,255,286,136,0,0,10Å`20%,0,36,168,215,269,140,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,0,0,0,0,0,0,10Å`20%,0,0,0,0,0,135,0,0,10Å`20%,0,0,12,550,326,102,0,0,10Å`20%,0,0,195,258,176,94,15,0
